x,y
0.000000,0.000000 
0.100000,0.009983 
0.200000,0.039734 
0.300000,0.088656 
0.400000,0.155767 
0.500000,0.239713 
0.600000,0.338785 
0.700000,0.450952 
0.800000,0.573885 
0.900000,0.704994 
1.000000,0.841471 
1.100000,0.980328 
1.200000,1.118447 
1.300000,1.252626 
1.400000,1.379630 
1.500000,1.496243 
1.600000,1.599318 
1.700000,1.685830 
1.800000,1.752926 
1.900000,1.797970 
2.000000,1.818595 
2.100000,1.812740 
2.200000,1.778692 
2.300000,1.715122 
2.400000,1.621112 
2.500000,1.496181 
2.600000,1.340304 
2.700000,1.153926 
2.799999,0.937968 
2.899999,0.693825 
2.999999,0.423362 
3.099999,0.128903 
3.199999,-0.186794 
3.299999,-0.520557 
3.399999,-0.868836 
3.499999,-1.227737 
3.599999,-1.593069 
3.699999,-1.960389 
3.799999,-2.325055 
3.899998,-2.682282 
3.999998,-3.027204 
4.099998,-3.354931 
4.199998,-3.660614 
4.299998,-3.939509 
4.399998,-4.187045 
4.499998,-4.398882 
4.599998,-4.570976 
4.699998,-4.699637 
4.799998,-4.781589 
4.899998,-4.814018 
4.999998,-4.794622 
5.099998,-4.721657 
5.199997,-4.593968 
5.299997,-4.411023 
5.399997,-4.172935 
5.499997,-3.880481 
5.599997,-3.535104 
5.699997,-3.138921 
5.799997,-2.694707 
5.899997,-2.205889 
5.999997,-1.676511 
6.099997,-1.111211 
6.199996,-0.515176 
6.299996,0.105905 
6.399996,0.745891 
6.499996,1.398255 
6.599996,2.056147 
6.699996,2.712468 
6.799996,3.359945 
6.899996,3.991208 
6.999996,4.598881 
7.099996,5.175656 
7.199996,5.714386 
7.299995,6.208166 
7.399995,6.650421 
7.499995,7.034983 
7.599995,7.356175 
7.699995,7.608885 
7.799995,7.788631 
7.899995,7.891634 
7.999995,7.914867 
8.099995,7.856113 
8.199995,7.714000 
8.299995,7.488039 
8.399996,7.178646 
8.499996,6.787157 
8.599997,6.315833 
8.699997,5.767850 
8.799997,5.147289 
8.899998,4.459102 
8.999998,3.709081 
9.099998,2.903808 
9.199999,2.050597 
9.299999,1.157433 
9.400000,0.232893 
9.500000,-0.713936 
9.600000,-1.673541 
9.700001,-2.636086 
9.800001,-3.591506 
9.900002,-4.529620 
10.000002,-5.440228 
10.100002,-6.313233 
10.200003,-7.138743 
10.300003,-7.907187 
10.400003,-8.609418 
10.500004,-9.236828 
10.600004,-9.781441 
10.700005,-10.236013 
10.800005,-10.594127 
10.900005,-10.850266 
11.000006,-10.999898 
11.100006,-11.039533 
11.200006,-10.966783 
11.300007,-10.780401 
11.400007,-10.480319 
11.500008,-10.067664 
11.600008,-9.544765 
11.700008,-8.915151 
11.800009,-8.183528 
11.900009,-7.355752 
12.000010,-6.438784 
12.100010,-5.440631 
12.200010,-4.370284 
12.300011,-3.237627 
12.400011,-2.053358 
12.500011,-0.828882 
12.600012,0.423800 
12.700012,1.692202 
12.800013,2.963485 
12.900013,4.224583 
13.000013,5.462335 
13.100014,6.663627 
13.200014,7.815529 
13.300014,8.905431 
13.400015,9.921182 
13.500015,10.851225 
13.600016,11.684723 
13.700016,12.411688 
13.800016,13.023090 
13.900017,13.510976 
14.000017,13.868553 
14.100018,14.090289 
14.200018,14.171980 
14.300018,14.110815 
14.400019,13.905420 
14.500019,13.555898 
14.600019,13.063842 
