x,y
14.700020,12.432340 
14.800020,11.665962 
14.900021,10.770735 
15.000021,9.754092 
15.100021,8.624820 
15.200022,7.392982 
15.300022,6.069829 
15.400023,4.667699 
15.500023,3.199903 
15.600023,1.680599 
15.700024,0.124651 
15.800024,-1.452509 
15.900024,-3.035037 
16.000025,-4.606840 
16.100025,-6.151734 
16.200026,-7.653613 
16.300026,-9.096618 
16.400026,-10.465299 
16.500027,-11.744786 
16.600027,-12.920948 
16.700027,-13.980541 
16.800028,-14.911366 
16.900028,-15.702398 
17.000029,-16.343918 
17.100029,-16.827629 
17.200029,-17.146749 
17.300030,-17.296116 
17.400030,-17.272240 
17.500031,-17.073368 
17.600031,-16.699520 
17.700031,-16.152512 
17.800032,-15.435946 
17.900032,-14.555204 
18.000032,-13.517409 
18.100033,-12.331367 
18.200033,-11.007497 
18.300034,-9.557741 
18.400034,-7.995460 
18.500034,-6.335307 
18.600035,-4.593093 
18.700035,-2.785638 
18.800035,-0.930606 
18.900036,0.953667 
19.000036,2.848353 
19.100037,4.734320 
19.200037,6.592327 
19.300037,8.403217 
19.400038,10.148120 
19.500038,11.808642 
19.600039,13.367065 
19.700039,14.806531 
19.800039,16.111225 
19.900040,17.266544 
20.000040,18.259268 
20.100040,19.077698 
20.200041,19.711794 
20.300041,20.153299 
20.400042,20.395834 
20.500042,20.434984 
20.600042,20.268364 
20.700043,19.895658 
20.800043,19.318649 
20.900043,18.541212 
21.000044,17.569300 
21.100044,16.410904 
21.200045,15.075984 
21.300045,13.576391 
21.400045,11.925761 
21.500046,10.139392 
21.600046,8.234106 
21.700047,6.228088 
21.800047,4.140714 
21.900047,1.992364 
22.000048,-0.195778 
22.100048,-2.401930 
22.200048,-4.603931 
22.300049,-6.779463 
22.400049,-8.906279 
22.500050,-10.962425 
22.600050,-12.926475 
22.700050,-14.777745 
22.800051,-16.496515 
22.900051,-18.064241 
23.000051,-19.463743 
23.100052,-20.679409 
23.200052,-21.697348 
23.300053,-22.505562 
23.400053,-23.094076 
23.500053,-23.455059 
23.600054,-23.582918 
23.700054,-23.474384 
23.800055,-23.128550 
23.900055,-22.546911 
24.000055,-21.733368 
24.100056,-20.694199 
24.200056,-19.438025 
24.300056,-17.975739 
24.400057,-16.320406 
24.500057,-14.487163 
24.600058,-12.493065 
24.700058,-10.356938 
24.800058,-8.099202 
24.900059,-5.741668 
25.000059,-3.307336 
25.100060,-0.820167 
